year,month,day,y
2020.0,1.0,24.0,20724.0
2020.0,1.0,24.0,1717.0
2020.0,1.0,24.0,433.0
2020.0,1.0,24.0,26340.0
2020.0,1.0,24.0,16750.0
2020.0,1.0,24.0,7294.0
2020.0,1.0,24.0,10591.0
2020.0,1.0,24.0,1093.0
2020.0,1.0,24.0,1008.0
2020.0,1.0,24.0,8792.0
2020.0,1.0,24.0,1013.0
2020.0,1.0,24.0,7.0
2020.0,1.0,24.0,466.0
2020.0,1.0,24.0,6001.0
2020.0,1.0,24.0,434.0
2020.0,1.0,25.0,14907.0
2020.0,1.0,25.0,1852.0
2020.0,1.0,25.0,575.0
2020.0,1.0,25.0,20716.0
2020.0,1.0,25.0,12511.0
2020.0,1.0,25.0,9121.0
2020.0,1.0,25.0,7187.0
2020.0,1.0,25.0,753.0
2020.0,1.0,25.0,923.0
2020.0,1.0,25.0,9834.0
2020.0,1.0,25.0,1183.0
2020.0,1.0,25.0,2.0
2020.0,1.0,25.0,168.0
2020.0,1.0,25.0,6118.0
2020.0,1.0,25.0,567.0
2020.0,1.0,26.0,22646.0
2020.0,1.0,26.0,7481.0
2020.0,1.0,26.0,2237.0
2020.0,1.0,26.0,44781.0
2020.0,1.0,26.0,19606.0
2020.0,1.0,26.0,12967.0
2020.0,1.0,26.0,10754.0
2020.0,1.0,26.0,1093.0
2020.0,1.0,26.0,2077.0
2020.0,1.0,26.0,26235.0
2020.0,1.0,26.0,2418.0
2020.0,1.0,26.0,0.0
2020.0,1.0,26.0,2510.0
2020.0,1.0,26.0,8216.0
2020.0,1.0,26.0,647.0
2020.0,1.0,27.0,36215.0
2020.0,1.0,27.0,10913.0
2020.0,1.0,27.0,2025.0
2020.0,1.0,27.0,43145.0
2020.0,1.0,27.0,17463.0
2020.0,1.0,27.0,14306.0
2020.0,1.0,27.0,10708.0
2020.0,1.0,27.0,1280.0
2020.0,1.0,27.0,2212.0
2020.0,1.0,27.0,27513.0
2020.0,1.0,27.0,3124.0
2020.0,1.0,27.0,69.0
2020.0,1.0,27.0,638.0
2020.0,1.0,27.0,7258.0
2020.0,1.0,27.0,601.0
2020.0,1.0,28.0,54491.0
2020.0,1.0,28.0,13133.0
2020.0,1.0,28.0,1754.0
2020.0,1.0,28.0,39880.0
2020.0,1.0,28.0,17313.0
2020.0,1.0,28.0,12420.0
2020.0,1.0,28.0,10279.0
2020.0,1.0,28.0,1551.0
2020.0,1.0,28.0,2173.0
2020.0,1.0,28.0,26094.0
2020.0,1.0,28.0,2761.0
2020.0,1.0,28.0,17.0
2020.0,1.0,28.0,705.0
2020.0,1.0,28.0,5745.0
2020.0,1.0,28.0,472.0
2020.0,1.0,29.0,50292.0
2020.0,1.0,29.0,20022.0
2020.0,1.0,29.0,2038.0
2020.0,1.0,29.0,44426.0
2020.0,1.0,29.0,19574.0
2020.0,1.0,29.0,10793.0
2020.0,1.0,29.0,11236.0
2020.0,1.0,29.0,1459.0
2020.0,1.0,29.0,2739.0
2020.0,1.0,29.0,26892.0
2020.0,1.0,29.0,3138.0
2020.0,1.0,29.0,0.0
