year,month,day,y
2020.0,1.0,24.0,9124.0
2020.0,1.0,24.0,2380.0
2020.0,1.0,24.0,470.0
2020.0,1.0,24.0,7383.0
2020.0,1.0,24.0,4979.0
2020.0,1.0,24.0,1949.0
2020.0,1.0,24.0,2921.0
2020.0,1.0,24.0,367.0
2020.0,1.0,24.0,264.0
2020.0,1.0,24.0,5354.0
2020.0,1.0,24.0,442.0
2020.0,1.0,24.0,0.0
2020.0,1.0,24.0,707.0
2020.0,1.0,24.0,358.0
2020.0,1.0,24.0,7.0
2020.0,1.0,25.0,8489.0
2020.0,1.0,25.0,2278.0
2020.0,1.0,25.0,176.0
2020.0,1.0,25.0,4368.0
2020.0,1.0,25.0,3237.0
2020.0,1.0,25.0,2682.0
2020.0,1.0,25.0,2662.0
2020.0,1.0,25.0,262.0
2020.0,1.0,25.0,208.0
2020.0,1.0,25.0,4540.0
2020.0,1.0,25.0,463.0
2020.0,1.0,25.0,0.0
2020.0,1.0,25.0,25.0
2020.0,1.0,25.0,490.0
2020.0,1.0,25.0,11.0
2020.0,1.0,26.0,10955.0
2020.0,1.0,26.0,2481.0
2020.0,1.0,26.0,272.0
2020.0,1.0,26.0,4994.0
2020.0,1.0,26.0,3816.0
2020.0,1.0,26.0,2486.0
2020.0,1.0,26.0,3119.0
2020.0,1.0,26.0,345.0
2020.0,1.0,26.0,284.0
2020.0,1.0,26.0,6051.0
2020.0,1.0,26.0,522.0
2020.0,1.0,26.0,0.0
2020.0,1.0,26.0,806.0
2020.0,1.0,26.0,554.0
2020.0,1.0,26.0,5.0
2020.0,1.0,27.0,10309.0
2020.0,1.0,27.0,1887.0
2020.0,1.0,27.0,221.0
2020.0,1.0,27.0,3643.0
2020.0,1.0,27.0,2863.0
2020.0,1.0,27.0,1998.0
2020.0,1.0,27.0,1945.0
2020.0,1.0,27.0,281.0
2020.0,1.0,27.0,189.0
2020.0,1.0,27.0,4507.0
2020.0,1.0,27.0,477.0
2020.0,1.0,27.0,0.0
2020.0,1.0,27.0,56.0
2020.0,1.0,27.0,394.0
2020.0,1.0,27.0,10.0
2020.0,1.0,28.0,7187.0
2020.0,1.0,28.0,1828.0
2020.0,1.0,28.0,194.0
2020.0,1.0,28.0,3633.0
2020.0,1.0,28.0,2575.0
2020.0,1.0,28.0,1551.0
2020.0,1.0,28.0,1831.0
2020.0,1.0,28.0,283.0
2020.0,1.0,28.0,245.0
2020.0,1.0,28.0,4217.0
2020.0,1.0,28.0,314.0
2020.0,1.0,28.0,0.0
2020.0,1.0,28.0,56.0
2020.0,1.0,28.0,238.0
2020.0,1.0,28.0,4.0
2020.0,1.0,29.0,9196.0
2020.0,1.0,29.0,1817.0
2020.0,1.0,29.0,201.0
2020.0,1.0,29.0,4343.0
2020.0,1.0,29.0,3003.0
2020.0,1.0,29.0,1363.0
2020.0,1.0,29.0,1900.0
2020.0,1.0,29.0,293.0
2020.0,1.0,29.0,320.0
2020.0,1.0,29.0,4695.0
2020.0,1.0,29.0,320.0
2020.0,1.0,29.0,0.0
2020.0,1.0,29.0,75.0
2020.0,1.0,29.0,250.0
2020.0,1.0,29.0,4.0
2020.0,1.0,30.0,9907.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,2470.0
2020.0,1.0,30.0,1711.0
2020.0,1.0,30.0,946.0
2020.0,1.0,30.0,1430.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,2785.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,134.0
2020.0,1.0,30.0,172.0
2020.0,1.0,30.0,0.0
2020.0,1.0,31.0,7817.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,1960.0
2020.0,1.0,31.0,1518.0
2020.0,1.0,31.0,653.0
2020.0,1.0,31.0,1200.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,2412.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,377.0
2020.0,1.0,31.0,121.0
2020.0,1.0,31.0,0.0
2020.0,1.0,2.0,5703.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,1883.0
2020.0,1.0,2.0,1505.0
2020.0,1.0,2.0,632.0
2020.0,1.0,2.0,1134.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,2429.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,8.0
2020.0,1.0,2.0,88.0
2020.0,1.0,2.0,0.0
2020.0,2.0,2.0,4649.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,1159.0
2020.0,2.0,2.0,1739.0
2020.0,2.0,2.0,487.0
2020.0,2.0,2.0,1272.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,2253.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,58.0
2020.0,2.0,2.0,98.0
2020.0,2.0,2.0,0.0
2020.0,3.0,2.0,6996.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,1873.0
2020.0,3.0,2.0,1038.0
2020.0,3.0,2.0,358.0
2020.0,3.0,2.0,1206.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,1871.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,22.0
2020.0,3.0,2.0,97.0
2020.0,3.0,2.0,0.0
2020.0,4.0,2.0,6317.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,402.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,2771.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,21.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,5.0,2.0,6041.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,329.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,2378.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,12.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,6.0,2.0,5728.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,468.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,4813.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,7.0,2.0,5563.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,628.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,6555.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,8.0,2.0,943.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,9.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,43.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,9.0,2.0,913.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,7.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,36.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,10.0,2.0,766.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,10.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,56.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,11.0,2.0,647.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,11.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,80.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,12.0,2.0,619.0
