year,month,day,y
2020.0,1.0,24.0,43964.0
2020.0,1.0,24.0,4434.0
2020.0,1.0,24.0,974.0
2020.0,1.0,24.0,34152.0
2020.0,1.0,24.0,21925.0
2020.0,1.0,24.0,11373.0
2020.0,1.0,24.0,13919.0
2020.0,1.0,24.0,1469.0
2020.0,1.0,24.0,1299.0
2020.0,1.0,24.0,14831.0
2020.0,1.0,24.0,1828.0
2020.0,1.0,24.0,266.0
2020.0,1.0,24.0,3573.0
2020.0,1.0,24.0,7754.0
2020.0,1.0,24.0,479.0
2020.0,1.0,25.0,34349.0
2020.0,1.0,25.0,4415.0
2020.0,1.0,25.0,818.0
2020.0,1.0,25.0,25401.0
2020.0,1.0,25.0,15865.0
2020.0,1.0,25.0,14142.0
2020.0,1.0,25.0,10083.0
2020.0,1.0,25.0,1027.0
2020.0,1.0,25.0,1150.0
2020.0,1.0,25.0,14906.0
2020.0,1.0,25.0,2145.0
2020.0,1.0,25.0,91.0
2020.0,1.0,25.0,2508.0
2020.0,1.0,25.0,7963.0
2020.0,1.0,25.0,622.0
2020.0,1.0,26.0,41123.0
2020.0,1.0,26.0,10377.0
2020.0,1.0,26.0,2646.0
2020.0,1.0,26.0,50181.0
2020.0,1.0,26.0,23687.0
2020.0,1.0,26.0,17764.0
2020.0,1.0,26.0,14235.0
2020.0,1.0,26.0,1462.0
2020.0,1.0,26.0,2401.0
2020.0,1.0,26.0,33154.0
2020.0,1.0,26.0,3441.0
2020.0,1.0,26.0,256.0
2020.0,1.0,26.0,5567.0
2020.0,1.0,26.0,10095.0
2020.0,1.0,26.0,676.0
2020.0,1.0,27.0,53288.0
2020.0,1.0,27.0,13221.0
2020.0,1.0,27.0,2362.0
2020.0,1.0,27.0,47175.0
2020.0,1.0,27.0,20529.0
2020.0,1.0,27.0,18302.0
2020.0,1.0,27.0,13009.0
2020.0,1.0,27.0,1573.0
2020.0,1.0,27.0,2437.0
2020.0,1.0,27.0,32779.0
2020.0,1.0,27.0,4032.0
2020.0,1.0,27.0,101.0
2020.0,1.0,27.0,706.0
2020.0,1.0,27.0,8923.0
2020.0,1.0,27.0,629.0
2020.0,1.0,28.0,67100.0
2020.0,1.0,28.0,15283.0
2020.0,1.0,28.0,2012.0
2020.0,1.0,28.0,43894.0
2020.0,1.0,28.0,20082.0
2020.0,1.0,28.0,15505.0
2020.0,1.0,28.0,12439.0
2020.0,1.0,28.0,1838.0
2020.0,1.0,28.0,2484.0
2020.0,1.0,28.0,31049.0
2020.0,1.0,28.0,3297.0
2020.0,1.0,28.0,51.0
2020.0,1.0,28.0,769.0
2020.0,1.0,28.0,6895.0
2020.0,1.0,28.0,494.0
2020.0,1.0,29.0,65359.0
2020.0,1.0,29.0,22242.0
2020.0,1.0,29.0,2326.0
2020.0,1.0,29.0,49254.0
2020.0,1.0,29.0,22900.0
2020.0,1.0,29.0,13324.0
2020.0,1.0,29.0,13521.0
2020.0,1.0,29.0,1763.0
2020.0,1.0,29.0,3120.0
2020.0,1.0,29.0,32583.0
2020.0,1.0,29.0,3729.0
2020.0,1.0,29.0,41.0
2020.0,1.0,29.0,512.0
2020.0,1.0,29.0,5342.0
2020.0,1.0,29.0,334.0
2020.0,1.0,30.0,61651.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,33205.0
2020.0,1.0,30.0,17894.0
2020.0,1.0,30.0,8901.0
2020.0,1.0,30.0,10928.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,20554.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,70.0
2020.0,1.0,30.0,3216.0
2020.0,1.0,30.0,4504.0
2020.0,1.0,30.0,0.0
2020.0,1.0,31.0,61999.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,26281.0
2020.0,1.0,31.0,15743.0
2020.0,1.0,31.0,7290.0
2020.0,1.0,31.0,9232.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,14520.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,332.0
2020.0,1.0,31.0,1296.0
2020.0,1.0,31.0,4166.0
2020.0,1.0,31.0,0.0
2020.0,1.0,2.0,66246.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,23737.0
2020.0,1.0,2.0,14645.0
2020.0,1.0,2.0,6579.0
2020.0,1.0,2.0,8044.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,12722.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,60.0
2020.0,1.0,2.0,2367.0
2020.0,1.0,2.0,3864.0
2020.0,1.0,2.0,0.0
2020.0,2.0,2.0,67494.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,14487.0
2020.0,2.0,2.0,19632.0
2020.0,2.0,2.0,6399.0
2020.0,2.0,2.0,12480.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,14565.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,184.0
2020.0,2.0,2.0,1748.0
2020.0,2.0,2.0,3524.0
2020.0,2.0,2.0,0.0
2020.0,3.0,2.0,52050.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,29437.0
2020.0,3.0,2.0,18317.0
2020.0,3.0,2.0,4627.0
2020.0,3.0,2.0,11310.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,10659.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,25.0
2020.0,3.0,2.0,358.0
2020.0,3.0,2.0,4221.0
2020.0,3.0,2.0,0.0
2020.0,4.0,2.0,41137.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,5977.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,22409.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,63.0
2020.0,4.0,2.0,226.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,5.0,2.0,34465.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,4622.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,19479.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,218.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,6.0,2.0,30467.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,6597.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,44953.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,6.0,2.0,0.0
2020.0,7.0,2.0,28813.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,8667.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,58502.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,7.0,2.0,0.0
2020.0,8.0,2.0,21969.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,1176.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,254.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,8.0,2.0,0.0
2020.0,9.0,2.0,25581.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,1210.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,353.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,1871.0
2020.0,9.0,2.0,0.0
2020.0,9.0,2.0,0.0
2020.0,10.0,2.0,19942.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,1314.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,521.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,10.0,2.0,0.0
2020.0,11.0,2.0,17417.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,1198.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,645.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,11.0,2.0,0.0
2020.0,12.0,2.0,16565.0
2020.0,12.0,2.0,0.0
2020.0,12.0,2.0,0.0
2020.0,12.0,2.0,0.0
2020.0,12.0,2.0,0.0
2020.0,12.0,2.0,1315.0
2020.0,12.0,2.0,0.0
2020.0,12.0,2.0,0.0
2020.0,12.0,2.0,0.0
2020.0,12.0,2.0,817.0
2020.0,12.0,2.0,0.0
2020.0,12.0,2.0,0.0
