year,month,day,y
2020.0,1.0,24.0,86569.0
2020.0,1.0,24.0,23212.0
2020.0,1.0,24.0,3743.0
2020.0,1.0,24.0,78718.0
2020.0,1.0,24.0,36148.0
2020.0,1.0,24.0,20665.0
2020.0,1.0,24.0,21866.0
2020.0,1.0,24.0,2118.0
2020.0,1.0,24.0,3457.0
2020.0,1.0,24.0,43490.0
2020.0,1.0,24.0,4276.0
2020.0,1.0,24.0,81.0
2020.0,1.0,24.0,3542.0
2020.0,1.0,24.0,10689.0
2020.0,1.0,24.0,569.0
2020.0,1.0,25.0,71372.0
2020.0,1.0,25.0,10802.0
2020.0,1.0,25.0,1715.0
2020.0,1.0,25.0,45507.0
2020.0,1.0,25.0,20177.0
2020.0,1.0,25.0,18349.0
2020.0,1.0,25.0,13709.0
2020.0,1.0,25.0,1103.0
2020.0,1.0,25.0,1905.0
2020.0,1.0,25.0,25884.0
2020.0,1.0,25.0,3054.0
2020.0,1.0,25.0,4.0
2020.0,1.0,25.0,5647.0
2020.0,1.0,25.0,9546.0
2020.0,1.0,25.0,815.0
2020.0,1.0,26.0,64263.0
2020.0,1.0,26.0,5535.0
2020.0,1.0,26.0,936.0
2020.0,1.0,26.0,29207.0
2020.0,1.0,26.0,15280.0
2020.0,1.0,26.0,15317.0
2020.0,1.0,26.0,10940.0
2020.0,1.0,26.0,1038.0
2020.0,1.0,26.0,1418.0
2020.0,1.0,26.0,17457.0
2020.0,1.0,26.0,2498.0
2020.0,1.0,26.0,0.0
2020.0,1.0,26.0,1711.0
2020.0,1.0,26.0,8234.0
2020.0,1.0,26.0,640.0
2020.0,1.0,27.0,60838.0
2020.0,1.0,27.0,4203.0
2020.0,1.0,27.0,606.0
2020.0,1.0,27.0,19579.0
2020.0,1.0,27.0,11554.0
2020.0,1.0,27.0,12279.0
2020.0,1.0,27.0,9062.0
2020.0,1.0,27.0,898.0
2020.0,1.0,27.0,1035.0
2020.0,1.0,27.0,12201.0
2020.0,1.0,27.0,1885.0
2020.0,1.0,27.0,53.0
2020.0,1.0,27.0,2962.0
2020.0,1.0,27.0,6418.0
2020.0,1.0,27.0,537.0
2020.0,1.0,28.0,61557.0
2020.0,1.0,28.0,3575.0
2020.0,1.0,28.0,575.0
2020.0,1.0,28.0,17542.0
2020.0,1.0,28.0,10446.0
2020.0,1.0,28.0,8837.0
2020.0,1.0,28.0,7704.0
2020.0,1.0,28.0,854.0
2020.0,1.0,28.0,701.0
2020.0,1.0,28.0,9332.0
2020.0,1.0,28.0,1203.0
2020.0,1.0,28.0,13.0
2020.0,1.0,28.0,508.0
2020.0,1.0,28.0,4786.0
2020.0,1.0,28.0,334.0
2020.0,1.0,29.0,51944.0
2020.0,1.0,29.0,4980.0
2020.0,1.0,29.0,763.0
2020.0,1.0,29.0,18968.0
2020.0,1.0,29.0,11963.0
2020.0,1.0,29.0,7280.0
2020.0,1.0,29.0,8734.0
2020.0,1.0,29.0,947.0
2020.0,1.0,29.0,915.0
2020.0,1.0,29.0,11724.0
2020.0,1.0,29.0,1285.0
2020.0,1.0,29.0,0.0
2020.0,1.0,29.0,442.0
2020.0,1.0,29.0,4311.0
2020.0,1.0,29.0,318.0
2020.0,1.0,30.0,48076.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,17365.0
2020.0,1.0,30.0,10786.0
2020.0,1.0,30.0,6069.0
2020.0,1.0,30.0,8414.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,10563.0
2020.0,1.0,30.0,0.0
2020.0,1.0,30.0,22.0
2020.0,1.0,30.0,2495.0
2020.0,1.0,30.0,4187.0
2020.0,1.0,30.0,0.0
2020.0,1.0,31.0,41567.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,16807.0
2020.0,1.0,31.0,10592.0
2020.0,1.0,31.0,5601.0
2020.0,1.0,31.0,7779.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,9148.0
2020.0,1.0,31.0,0.0
2020.0,1.0,31.0,11.0
2020.0,1.0,31.0,1910.0
2020.0,1.0,31.0,4037.0
2020.0,1.0,31.0,0.0
2020.0,1.0,2.0,41916.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,16340.0
2020.0,1.0,2.0,10485.0
2020.0,1.0,2.0,5382.0
2020.0,1.0,2.0,6974.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,7302.0
2020.0,1.0,2.0,0.0
2020.0,1.0,2.0,5.0
2020.0,1.0,2.0,2100.0
2020.0,1.0,2.0,3698.0
2020.0,1.0,2.0,0.0
2020.0,2.0,2.0,36828.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,8118.0
2020.0,2.0,2.0,12943.0
2020.0,2.0,2.0,5084.0
2020.0,2.0,2.0,6416.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,6552.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,0.0
2020.0,2.0,2.0,2435.0
2020.0,2.0,2.0,3293.0
2020.0,2.0,2.0,0.0
2020.0,3.0,2.0,30728.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,18336.0
2020.0,3.0,2.0,12133.0
2020.0,3.0,2.0,4595.0
2020.0,3.0,2.0,7801.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,8200.0
2020.0,3.0,2.0,0.0
2020.0,3.0,2.0,29.0
2020.0,3.0,2.0,228.0
2020.0,3.0,2.0,4031.0
2020.0,3.0,2.0,0.0
2020.0,4.0,2.0,28208.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,5182.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,18378.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,63.0
2020.0,4.0,2.0,185.0
2020.0,4.0,2.0,0.0
2020.0,4.0,2.0,0.0
2020.0,5.0,2.0,29292.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,3835.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,19089.0
2020.0,5.0,2.0,0.0
2020.0,5.0,2.0,0.0
