year,month,day,網紅博客,網民,匿名,媒體,機構及社群,政界人士,企業品牌,演藝明星,商界名人,author_total,Facebook - 群組 或專頁,香港高登,香港01,LIHKG,香港討論區-discuss.com.hk,雅虎(香港),親子王國,香港討論區-uwants.com,Facebook香港,publisher_total,keywords_total,pos_count,neg_count,neu_count,emo_score,manual_pos,manual_neg,manual_equ,manualemo_score,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2,arrival_total,departure_total
2020,2,12,8,3,10,4,1,2,1,0,0,29,16,3,8,0,0,2,0,0,0,29,26,9,0,0,1,3,4,0,-0.142857143,中國,7,航班,7,韓國,6,1.565,0.985
2020,2,13,0,1,3,4,1,0,0,0,0,9,6,0,2,0,0,1,0,0,0,9,14,6,1,0,0.714285714,4,1,0,0.6,肺炎,3,港澳,2,南韓,2,1.466,4.806
2020,2,14,2,0,7,1,2,0,0,0,0,12,5,0,7,0,0,0,0,0,0,12,11,6,0,0,1,1,0,0,1,中國,6,航班,6,韓國,3,16.521,21.541
2020,2,15,2,1,3,1,0,0,0,0,0,7,3,0,1,1,0,2,0,0,0,7,14,5,2,0,0.428571429,0,2,0,-1,skin,1,tone,1,出現,1,16.764,22.339
2020,2,16,0,0,3,0,0,1,0,0,0,4,1,0,3,0,0,0,0,0,0,4,6,4,0,0,1,0,0,0,0,中國,2,航班,2,綜合台,1,19.509,20.41
2020,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,23.393,19.458
2020,2,18,2,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,5,4,0,0,1,1,1,1,0,冠狀,3,旅客,2,簽證,1,19.001,17.649
2020,2,19,3,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,5,4,0,0,1,1,0,0,1,冠狀,3,簽證,2,中國,1,17.413,15.481
2020,2,20,2,6,1,4,1,0,1,0,0,15,13,1,1,0,0,0,0,0,0,15,11,7,1,0,0.75,7,3,0,0.4,俄羅斯,7,中國,6,港人,5,15.658,16.059
2020,2,21,0,4,0,0,0,0,1,0,0,5,4,1,0,0,0,0,0,0,0,5,7,5,0,0,1,2,0,0,1,中國,2,港人,2,回港,2,16.649,19.47
2020,2,22,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,-1,香港,1,澳門,1,,0,17.935,20.897
2020,2,23,0,2,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,4,3,0,0,1,0,0,0,0,封關,2,內地,2,禁令,1,18.771,18.63
2020,2,24,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,旅客,1,冠狀,1,,0,23.565,18.055
2020,2,25,2,1,2,6,4,1,0,0,0,16,14,0,1,0,0,1,0,0,0,16,18,7,1,0,0.75,3,9,1,-0.5,韓國,6,南韓,3,外遊,3,19.97,17.785
2020,2,26,1,0,1,8,4,1,0,0,0,15,14,0,1,0,0,0,0,0,0,15,20,6,2,0,0.5,7,4,2,0.272727273,韓國,5,港人,3,南韓,2,17.832,15.329
