year,month,day,網紅博客,網民,匿名,媒體,機構及社群,政界人士,企業品牌,演藝明星,商界名人,author_total,Facebook - 群組 或專頁,香港高登,香港01,LIHKG,香港討論區-discuss.com.hk,雅虎(香港),親子王國,香港討論區-uwants.com,Facebook香港,publisher_total,keywords_total,pos_count,neg_count,neu_count,emo_score,manual_pos,manual_neg,manual_equ,manualemo_score,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2,arrival_total,departure_total
2020,2,12,7,11,2,5,6,9,0,0,0,40,35,0,2,2,0,0,1,0,0,40,36,13,0,0,1,4,13,0,-0.529411765,鄭月,12,接觸,11,武漢,6,1.565,0.985
2020,2,13,2,9,0,2,1,2,0,0,0,16,12,1,0,1,2,0,0,0,0,16,24,13,0,0,1,3,4,0,-0.142857143,香港,4,口罩,3,智遠,2,1.466,4.806
2020,2,14,2,3,0,2,4,2,0,0,0,13,12,0,0,1,0,0,0,0,0,13,19,13,0,0,1,3,3,0,0,香港,3,悲劇,2,數字,2,16.521,21.541
2020,2,15,2,3,0,1,2,1,0,0,0,9,9,0,0,0,0,0,0,0,0,9,10,9,0,0,1,4,1,0,0.6,行動,5,工會,4,口罩,2,16.764,22.339
2020,2,16,2,2,0,1,0,0,0,0,0,5,3,1,0,0,1,0,0,0,0,5,8,4,1,0,0.6,2,0,0,1,香港,3,應該,1,醫護,1,19.509,20.41
2020,2,17,1,2,0,0,2,2,0,0,0,7,7,0,0,0,0,0,0,0,0,7,10,7,0,0,1,3,2,0,0.2,芝麻官,2,無品,2,新加坡,2,23.393,19.458
2020,2,18,0,2,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,4,3,0,0,1,0,1,0,-1,隔離,2,林鄭,2,fire,1,19.001,17.649
2020,2,19,1,6,0,3,2,0,0,0,0,12,10,0,0,0,2,0,0,0,0,12,14,9,2,0,0.636363636,8,1,0,0.777777778,森美,6,雙重,6,隔離,1,17.413,15.481
2020,2,20,2,2,1,2,1,1,0,0,0,9,7,1,1,0,0,0,0,0,0,9,17,9,0,0,1,4,2,0,0.333333333,俄羅斯,2,森美,1,雙重,1,15.658,16.059
2020,2,21,1,7,0,3,4,1,1,0,0,17,17,0,0,0,0,0,0,0,0,17,21,13,0,0,1,2,2,0,0,時代,7,雜誌,5,香港,2,16.649,19.47
2020,2,22,2,11,0,2,2,0,0,0,0,17,15,0,0,1,1,0,0,0,0,17,22,12,1,0,0.846153846,3,7,0,-0.4,疫情,5,前線,4,還會,3,17.935,20.897
2020,2,23,0,4,0,0,1,0,0,0,0,5,3,1,0,0,1,0,0,0,0,5,6,3,2,0,0.2,0,1,0,-1,罷工,2,報告,2,內地,2,18.771,18.63
2020,2,24,1,6,0,0,0,1,0,0,0,8,7,0,0,1,0,0,0,0,0,8,7,7,0,1,1,0,2,0,-1,口罩,6,澳門,5,報告,1,23.565,18.055
2020,2,25,3,14,1,2,2,2,0,0,0,24,23,0,1,0,0,0,0,0,0,24,14,11,1,0,0.833333333,1,11,1,-0.833333333,武漢,15,雙重,15,中國,3,19.97,17.785
2020,2,26,5,8,0,4,2,1,0,1,0,21,18,1,0,1,1,0,0,0,0,21,21,10,1,1,0.818181818,3,8,1,-0.454545455,武漢,7,雙重,7,港府,4,17.832,15.329
2020,2,27,0,3,0,2,1,0,0,0,0,6,5,0,0,1,0,0,0,0,0,6,10,6,0,0,1,1,2,0,-0.333333333,武漢,2,韓國,2,考慮,1,17.061,15.866
2020,2,28,0,2,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,3,5,3,0,0,1,2,0,0,1,香港,2,醫護,1,北市,1,16.952,17.555
2020,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,18.448,20.644
2020,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,公務員,1,繼續,1,,0,21.762,20.601
2020,3,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,公務員,1,香港,1,,0,0,0
2020,3,3,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,4,0,0,1,1,2,0,-0.333333333,疫情,2,竹君,2,無關,2,131.004,86.081
2020,3,4,0,3,0,6,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,9,12,8,1,0,0.777777778,2,2,0,0,衛生,3,疫情,3,武漢,2,17.437,17.348
2020,3,5,0,1,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,3,6,3,0,0,1,0,0,0,0,衛生,1,肺炎,1,問題,1,1.652,1.263
2020,3,6,0,6,1,1,1,0,0,0,0,9,5,0,0,0,2,1,0,1,0,9,14,6,2,1,0.5,2,0,0,1,疫情,4,德塞,2,時代,1,1.647,0.531
2020,3,7,0,11,1,2,1,1,0,1,0,17,16,0,0,0,0,1,0,0,0,17,12,12,1,0,0.846153846,1,0,0,1,抗爭,12,醜陋,12,香港,1,2.419,1.301
2020,3,8,0,4,0,0,0,0,0,0,2,6,6,0,0,0,0,0,0,0,0,6,4,6,0,0,1,0,2,0,-1,抗爭,4,醜陋,4,簽證,2,3.711,3.463
2020,3,9,0,4,0,0,0,0,0,1,0,5,4,0,0,0,1,0,0,0,0,5,8,3,2,0,0.2,1,0,0,1,外來,2,輸入,2,刺針,1,0.934,1.742
2020,3,10,0,5,0,2,0,0,1,0,0,8,7,0,0,0,0,0,1,0,0,8,10,8,0,0,1,1,1,0,0,抗爭,4,醜陋,4,不斷,1,1.848,2.505
2020,3,11,1,2,1,3,0,0,0,0,0,7,5,0,1,0,1,0,0,0,0,7,12,6,0,1,1,0,3,0,-1,新冠,2,韓國,2,學生,1,1.967,1.385
2020,3,12,2,7,0,0,1,0,0,0,0,10,9,0,0,1,0,0,0,0,0,10,8,10,0,0,1,1,2,0,-0.333333333,新冠,6,肺炎,6,口罩,2,1.694,2.296
2020,3,13,0,7,0,0,1,0,0,0,0,8,8,0,0,0,0,0,0,0,0,8,4,8,0,0,1,1,0,0,1,兩國,7,歐盟,7,醫護,1,1.704,4.619
2020,3,14,0,1,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,6,3,0,0,1,2,0,0,1,泰國,1,簽證,1,再延,1,18.745,16.43
2020,3,15,0,1,0,0,2,1,0,0,0,4,3,0,0,0,1,0,0,0,0,4,8,4,0,0,1,3,0,0,1,彩虹,1,口罩,1,武漢,1,19.282,16.685
2020,3,16,2,19,0,1,0,0,0,0,0,22,20,0,0,0,2,0,0,0,0,22,10,9,1,1,0.8,6,2,0,0.5,救港,16,要求,14,歐美,4,24.528,16.351
2020,3,17,0,14,2,5,2,0,0,0,0,23,19,0,2,0,2,0,0,0,0,23,20,11,0,1,1,9,1,0,0.8,歐美,6,這些,4,救港,4,21.488,16.124
2020,3,18,2,53,1,11,8,2,0,0,0,77,75,0,1,0,1,0,0,0,0,77,30,13,0,1,1,28,5,0,0.696969697,相繼,41,歐盟,34,郭家,9,18.686,13.083
2020,3,19,1,10,0,3,1,1,0,0,0,16,14,0,0,2,0,0,0,0,0,16,18,11,0,1,1,4,0,0,1,森美,5,老屈,5,相繼,4,20.583,11.633
2020,3,20,0,1,3,1,0,1,0,0,0,6,3,0,1,0,0,2,0,0,0,6,8,4,2,0,0.333333333,0,1,0,-1,入境,3,機票,2,感染,2,13.118,9.233
2020,3,21,0,12,0,1,2,3,1,0,0,19,0,1,0,0,0,0,0,1,17,19,21,12,1,0,0.846153846,6,1,0,0.714285714,特首,5,處理,5,本港,3,14.858,9.835
2020,3,22,1,3,0,4,1,0,0,0,0,9,0,0,0,1,0,0,0,0,8,9,14,9,0,0,1,2,1,0,0.333333333,反對,3,美英,3,pouting,1,13.494,9.007
2020,3,23,0,6,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,8,11,7,1,0,0.75,2,5,0,-0.428571429,爆發,4,大陸,3,盧偉國,1,12.797,8.209
2020,3,24,2,9,1,10,5,3,0,0,0,30,0,0,0,1,1,1,0,0,27,30,39,12,0,0,1,8,9,0,-0.058823529,武漢,7,疫情,4,肺炎,3,11.652,9.958
